Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,35
design__inferred_latch__count,0
design__instance__count,29590
design__instance__area,296691
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_fast_1p32V_m40C,0
design__max_fanout_violation__count__corner:nom_fast_1p32V_m40C,62
design__max_cap_violation__count__corner:nom_fast_1p32V_m40C,0
power__internal__total,0.0024899595882743597
power__switching__total,0.000475373090011999
power__leakage__total,0.000008742594218347222
power__total,0.0029740752652287483
clock__skew__worst_hold__corner:nom_fast_1p32V_m40C,-0.040113212498136215
clock__skew__worst_setup__corner:nom_fast_1p32V_m40C,-0.040113212498136215
timing__hold__ws__corner:nom_fast_1p32V_m40C,0.15584574349917216
timing__setup__ws__corner:nom_fast_1p32V_m40C,13.739125781499887
timing__hold__tns__corner:nom_fast_1p32V_m40C,0.0
timing__setup__tns__corner:nom_fast_1p32V_m40C,0.0
timing__hold__wns__corner:nom_fast_1p32V_m40C,0
timing__setup__wns__corner:nom_fast_1p32V_m40C,0.0
timing__hold_vio__count__corner:nom_fast_1p32V_m40C,0
timing__hold_r2r__ws__corner:nom_fast_1p32V_m40C,0.155846
timing__hold_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_vio__count__corner:nom_fast_1p32V_m40C,0
timing__setup_r2r__ws__corner:nom_fast_1p32V_m40C,13.739126
timing__setup_r2r_vio__count__corner:nom_fast_1p32V_m40C,0
design__max_slew_violation__count__corner:nom_slow_1p08V_125C,0
design__max_fanout_violation__count__corner:nom_slow_1p08V_125C,62
design__max_cap_violation__count__corner:nom_slow_1p08V_125C,0
clock__skew__worst_hold__corner:nom_slow_1p08V_125C,-0.06954922945523909
clock__skew__worst_setup__corner:nom_slow_1p08V_125C,-0.06954922945523909
timing__hold__ws__corner:nom_slow_1p08V_125C,0.36976567299112634
timing__setup__ws__corner:nom_slow_1p08V_125C,4.6170446550586925
timing__hold__tns__corner:nom_slow_1p08V_125C,0.0
timing__setup__tns__corner:nom_slow_1p08V_125C,0.0
timing__hold__wns__corner:nom_slow_1p08V_125C,0
timing__setup__wns__corner:nom_slow_1p08V_125C,0.0
timing__hold_vio__count__corner:nom_slow_1p08V_125C,0
timing__hold_r2r__ws__corner:nom_slow_1p08V_125C,0.369766
timing__hold_r2r_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_vio__count__corner:nom_slow_1p08V_125C,0
timing__setup_r2r__ws__corner:nom_slow_1p08V_125C,4.617044
timing__setup_r2r_vio__count__corner:nom_slow_1p08V_125C,0
design__max_slew_violation__count__corner:nom_typ_1p20V_25C,0
design__max_fanout_violation__count__corner:nom_typ_1p20V_25C,62
design__max_cap_violation__count__corner:nom_typ_1p20V_25C,0
clock__skew__worst_hold__corner:nom_typ_1p20V_25C,-0.05226370872898445
clock__skew__worst_setup__corner:nom_typ_1p20V_25C,-0.05226370872898445
timing__hold__ws__corner:nom_typ_1p20V_25C,0.2356035988546495
timing__setup__ws__corner:nom_typ_1p20V_25C,10.332149650518435
timing__hold__tns__corner:nom_typ_1p20V_25C,0.0
timing__setup__tns__corner:nom_typ_1p20V_25C,0.0
timing__hold__wns__corner:nom_typ_1p20V_25C,0
timing__setup__wns__corner:nom_typ_1p20V_25C,0.0
timing__hold_vio__count__corner:nom_typ_1p20V_25C,0
timing__hold_r2r__ws__corner:nom_typ_1p20V_25C,0.235604
timing__hold_r2r_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_vio__count__corner:nom_typ_1p20V_25C,0
timing__setup_r2r__ws__corner:nom_typ_1p20V_25C,10.332150
timing__setup_r2r_vio__count__corner:nom_typ_1p20V_25C,0
design__max_slew_violation__count,0
design__max_fanout_violation__count,62
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.040113212498136215
clock__skew__worst_setup,-0.06954922945523909
timing__hold__ws,0.15584574349917216
timing__setup__ws,4.6170446550586925
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.155846
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,4.617044
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 600.0 600.0
design__core__bbox,20.16 22.68 557.76 574.56
design__io,10
design__die__area,360000
design__core__area,296691
design__instance__count__stdcell,13805
design__instance__area__stdcell,169822
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.572389
design__instance__utilization__stdcell,0.572389
design__rows,146
design__rows:CoreSite,146
design__sites,163520
design__sites:CoreSite,163520
design__instance__count__class:buffer,4
design__instance__area__class:buffer,29.0304
design__instance__count__class:inverter,384
design__instance__area__class:inverter,2090.19
design__instance__count__class:sequential_cell,804
design__instance__area__class:sequential_cell,39387
design__instance__count__class:multi_input_combinational_cell,11380
design__instance__area__class:multi_input_combinational_cell,117301
flow__warnings__count,1
flow__errors__count,0
flow__warnings__type_count,1
flow__warnings__count:ORD-0039,1
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
floorplan__design__io,8
design__io__hpwl,3496270
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,338952
design__violations,0
design__instance__count__class:timing_repair_buffer,1054
design__instance__area__class:timing_repair_buffer,7649.51
design__instance__count__class:clock_buffer,113
design__instance__area__class:clock_buffer,2883.08
design__instance__count__class:clock_inverter,56
design__instance__area__class:clock_inverter,428.198
flow__warnings__count:CTS-0041,13
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,0
global_route__vias,154
global_route__wirelength,563032
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,10
route__net,13742
route__net__special,2
route__drc_errors__iter:0,219
route__wirelength__iter:0,376158
route__drc_errors__iter:1,55
route__wirelength__iter:1,376106
route__drc_errors__iter:2,54
route__wirelength__iter:2,376058
route__drc_errors__iter:3,0
route__wirelength__iter:3,376040
route__drc_errors__iter:4,0
route__wirelength__iter:4,376001
route__drc_errors,0
route__wirelength,376040
route__vias,84688
route__vias__singlecut,84688
route__vias__multicut,0
design__instance__count__class:antenna_cell,10
design__instance__area__class:antenna_cell,54.432
flow__warnings__count:DRT-0349,10
design__disconnected_pin__count,0
design__critical_disconnected_pin__count,0
route__wirelength__max,1469.7
design__instance__count__class:fill_cell,15785
design__instance__area__class:fill_cell,126868
timing__unannotated_net__count__corner:nom_fast_1p32V_m40C,59
timing__unannotated_net_filtered__count__corner:nom_fast_1p32V_m40C,0
timing__unannotated_net__count__corner:nom_slow_1p08V_125C,59
timing__unannotated_net_filtered__count__corner:nom_slow_1p08V_125C,0
timing__unannotated_net__count__corner:nom_typ_1p20V_25C,59
timing__unannotated_net_filtered__count__corner:nom_typ_1p20V_25C,0
timing__unannotated_net__count,59
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_typ_1p20V_25C,1.19628
design_powergrid__drop__average__net:VPWR__corner:nom_typ_1p20V_25C,1.19994
design_powergrid__drop__worst__net:VPWR__corner:nom_typ_1p20V_25C,0.0037152
design_powergrid__voltage__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00469305
design_powergrid__drop__average__net:VGND__corner:nom_typ_1p20V_25C,0.0000566463
design_powergrid__drop__worst__net:VGND__corner:nom_typ_1p20V_25C,0.00469305
design_powergrid__voltage__worst,0.00469305
design_powergrid__voltage__worst__net:VPWR,1.19628
design_powergrid__drop__worst,0.00469305
design_powergrid__drop__worst__net:VPWR,0.0037152
design_powergrid__voltage__worst__net:VGND,0.00469305
design_powergrid__drop__worst__net:VGND,0.00469305
ir__voltage__worst,1.1999999999999999555910790149937383830547332763671875
ir__drop__avg,0.000062999999999999999901988123607310399165726266801357269287109375
ir__drop__worst,0.003720000000000000216215934045749236247502267360687255859375
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
